Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Number of Forward Gears,Fuel Information.City mpg,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
110,186,57,5,15,2011,261,281
110,186,57,5,15,2010,261,281
110,186,57,5,15,2010,261,281
110,186,57,5,15,2010,261,281
110,186,57,6,16,2010,261,281
110,186,57,6,16,2010,261,281
110,186,57,5,15,2010,261,281
110,186,57,5,15,2010,261,281
110,186,57,6,16,2010,261,281
110,186,57,5,15,2010,261,281
139,242,3,6,23,2012,175,180
139,242,3,6,18,2012,270,258
200,245,54,6,16,2010,300,300
188,245,54,6,18,2010,230,200
188,245,54,6,15,2010,360,360
188,245,54,6,18,2010,230,200
200,245,54,6,17,2010,300,300
200,245,54,6,17,2010,230,200
188,245,54,6,15,2010,360,360
200,245,54,6,17,2010,230,200
188,245,54,6,17,2010,300,300
188,245,54,6,17,2010,300,300
24,172,118,7,13,2010,382,391
24,172,118,7,18,2010,210,400
24,172,158,7,11,2010,503,465
24,172,118,7,15,2010,268,258
24,172,118,7,16,2010,268,258
24,172,118,7,16,2011,268,258
200,245,54,6,17,2011,300,300
24,172,118,7,18,2011,210,400
200,245,54,6,17,2011,230,200
24,172,118,7,13,2011,382,391
188,245,54,6,15,2011,360,360
221,222,254,6,21,2012,200,180
231,214,254,6,24,2012,140,147
254,199,158,4,24,2012,122,127
254,199,158,6,26,2012,122,127
229,221,191,6,19,2011,187,186
214,221,191,6,18,2011,266,245
229,221,191,6,19,2011,187,186
3,221,191,6,18,2011,266,245
19,221,191,6,16,2011,266,245
3,221,191,6,18,2011,266,245
208,221,191,6,18,2011,266,245
3,221,191,6,18,2011,266,245
19,221,191,6,16,2011,266,245
3,221,191,6,18,2011,266,245
3,221,191,6,18,2011,266,245
19,221,191,6,16,2011,266,245
183,40,67,6,15,2011,400,450
183,40,67,8,20,2011,300,300
183,40,67,6,19,2011,300,300
183,40,67,8,17,2011,400,450
233,103,158,5,27,2012,109,107
17,230,22,7,14,2011,382,391
17,240,22,7,12,2011,518,465
17,240,22,5,12,2011,604,738
17,6,252,6,18,2010,228,221
17,6,252,7,18,2010,300,265
246,6,1,7,14,2010,355,376
17,6,252,6,17,2011,228,221
17,6,252,7,19,2011,300,265
17,6,252,7,19,2010,228,221
28,64,135,6,16,2011,273,270
28,64,135,6,17,2011,355,350
28,64,135,6,17,2011,273,270
28,64,135,6,17,2010,273,270
28,64,135,6,17,2010,355,350
28,64,135,6,16,2010,273,270
210,248,54,6,16,2010,300,300
210,248,54,6,16,2010,300,300
17,6,252,7,19,2011,228,221
175,153,138,6,16,2011,355,350
175,153,138,6,16,2011,268,267
175,153,138,6,17,2011,268,267
175,153,138,6,17,2010,268,267
175,153,138,6,16,2010,268,267
175,153,138,6,16,2010,355,350
173,134,138,6,19,2011,305,280
173,134,138,6,17,2011,305,280
178,129,133,6,17,2010,265,250
178,129,133,6,18,2010,265,250
135,23,214,6,14,2010,403,417
135,23,214,6,10,2010,403,417
135,23,214,6,10,2010,403,417
135,23,214,6,13,2010,403,417
135,23,214,6,14,2010,403,417
135,23,214,6,10,2010,403,417
135,23,214,6,14,2010,403,417
135,23,214,6,13,2010,403,417
165,212,41,6,18,2011,263,249
165,212,41,6,17,2011,263,249
165,212,41,6,17,2010,263,249
165,212,41,6,18,2010,263,249
191,210,143,6,16,2010,273,270
191,210,143,6,15,2010,273,270
191,210,143,6,16,2010,273,270
191,210,143,6,15,2010,273,270
191,210,143,6,16,2010,273,270
191,210,143,6,15,2010,273,270
214,241,173,5,17,2010,266,245
214,241,173,5,17,2010,266,245
214,241,173,5,17,2010,266,245
214,241,173,5,16,2010,266,245
214,241,173,5,17,2010,266,245
214,241,173,5,17,2010,266,245
214,241,173,5,17,2010,266,245
214,241,173,5,17,2010,266,245
214,241,173,5,16,2010,266,245
252,219,26,5,20,2010,166,161
252,219,26,5,19,2010,166,161
252,219,26,5,20,2010,166,161
252,219,26,5,18,2010,166,161
252,219,26,5,19,2010,166,161
229,232,26,5,18,2010,166,161
229,232,26,5,20,2010,166,161
195,109,158,5,29,2011,100,98
195,109,158,4,27,2011,100,98
195,109,158,5,29,2011,100,98
195,109,158,4,27,2011,100,98
190,237,219,5,25,2011,148,135
190,237,219,5,25,2011,148,135
190,237,219,5,24,2011,148,135
190,237,219,5,25,2011,148,135
190,237,219,5,24,2011,148,135
190,242,219,6,20,2011,167,168
190,242,219,5,22,2011,167,168
190,242,219,6,20,2011,167,168
190,242,219,5,20,2011,167,168
190,153,219,6,20,2011,167,168
190,153,219,5,22,2011,167,168
190,153,219,6,20,2011,167,168
190,153,219,5,22,2011,167,168
252,142,212,6,18,2012,290,255
252,142,212,6,20,2012,240,270
252,142,212,6,17,2012,290,255
252,142,212,6,18,2012,290,255
252,142,212,6,20,2012,240,270
252,142,212,6,17,2012,290,255
252,142,212,6,18,2012,290,255
252,142,212,6,20,2012,240,270
252,142,212,6,17,2012,290,255
190,153,219,6,21,2010,167,168
190,153,219,5,22,2010,167,168
190,153,219,6,21,2010,167,168
190,153,219,5,22,2010,167,168
252,142,212,6,17,2011,290,255
11,142,212,6,17,2011,290,255
252,142,212,6,17,2011,290,255
11,142,212,6,17,2011,290,255
252,142,212,6,17,2011,290,255
11,142,212,6,17,2011,290,255
190,237,219,5,25,2010,148,135
190,237,219,5,25,2010,148,135
190,237,219,5,24,2010,148,135
190,237,219,5,25,2010,148,135
190,237,219,5,24,2010,148,135
190,242,219,6,21,2010,167,168
190,242,219,5,22,2010,167,168
190,242,219,6,21,2010,167,168
190,242,219,5,22,2010,167,168
180,159,234,6,18,2011,263,280
180,159,234,6,18,2010,263,280
57,48,79,5,14,2010,210,254
57,48,79,5,13,2010,210,254
57,48,79,5,13,2010,210,254
57,48,79,6,14,2010,292,315
57,48,79,5,14,2010,210,254
57,48,79,5,13,2010,210,254
57,48,79,6,14,2010,292,315
57,48,79,5,14,2010,210,254
57,48,79,5,13,2010,210,254
57,48,79,5,13,2010,210,254
57,48,79,6,14,2010,292,315
79,232,214,6,21,2012,157,163
79,232,214,5,21,2012,157,163
79,232,214,5,21,2012,157,163
79,232,214,5,21,2012,157,163
94,2,216,5,22,2010,153,148
94,2,216,5,21,2010,153,148
94,2,216,5,21,2010,153,148
94,2,216,5,21,2010,153,148
11,240,201,5,17,2011,250,253
11,240,201,5,16,2011,250,253
54,240,201,5,17,2011,250,253
54,240,201,5,16,2011,250,253
54,240,201,5,17,2011,250,253
54,240,201,5,16,2011,250,253
54,240,201,5,17,2011,250,253
54,240,201,5,16,2011,250,253
190,55,46,6,21,2012,170,167
190,55,46,5,22,2012,170,167
190,55,46,5,22,2012,170,167
190,55,46,5,22,2012,170,167
190,55,46,5,22,2012,170,167
190,55,46,6,18,2012,272,269
190,55,46,6,18,2012,272,269
193,12,49,6,18,2011,270,223
193,12,49,6,18,2011,270,223
193,12,49,6,18,2011,270,223
193,12,49,6,18,2011,270,223
193,12,49,6,18,2011,270,223
193,12,49,6,18,2011,270,223
193,12,49,6,18,2011,304,273
193,12,49,6,18,2011,304,273
193,12,49,6,18,2011,304,273
193,12,49,6,18,2011,304,273
191,39,191,6,9,2011,310,365
196,173,209,6,13,2011,310,365
196,173,209,6,10,2011,310,365
191,39,191,6,14,2011,310,365
196,39,191,6,9,2010,310,365
196,173,209,6,14,2010,310,365
218,95,201,4,12,2011,239,287
221,247,201,4,12,2011,239,287
221,247,201,4,16,2010,239,287
218,95,201,4,12,2010,239,287
150,22,234,6,18,2011,228,221
23,134,107,8,19,2010,300,300
23,134,107,8,15,2010,400,450
23,134,107,8,15,2010,400,450
115,251,135,7,16,2010,303,262
115,251,135,7,16,2010,303,262
115,251,135,7,14,2010,390,369
150,22,234,7,18,2011,228,221
150,22,234,7,18,2011,228,221
221,2,52,6,18,2010,270,223
221,2,52,6,18,2010,270,223
221,2,52,6,18,2010,270,223
221,2,52,6,18,2010,270,223
221,2,52,6,18,2010,270,223
221,2,52,6,18,2010,270,223
221,2,52,6,18,2010,304,273
221,2,52,6,18,2010,304,273
221,2,52,6,18,2010,304,273
221,2,52,6,18,2010,304,273
115,251,135,7,16,2011,303,262
115,251,135,7,16,2011,303,262
142,251,135,7,14,2011,390,369
165,22,234,7,18,2010,228,221
221,81,52,7,27,2012,302,258
183,132,52,6,18,2011,302,272
183,132,52,6,18,2011,302,272
183,132,52,6,18,2011,302,272
183,132,52,6,18,2011,302,272
183,132,52,6,18,2011,302,272
228,66,13,7,17,2009,303,262
254,63,212,5,24,2011,158,141
254,63,212,5,24,2011,158,141
254,63,212,5,23,2011,172,165
165,22,234,7,18,2011,228,221
254,63,212,5,23,2010,158,141
254,63,212,5,23,2010,158,141
254,63,212,5,23,2010,172,165
254,63,212,5,23,2010,172,165
254,63,212,5,23,2010,158,141
254,63,212,5,23,2010,158,141
23,134,107,8,15,2011,400,450
23,134,107,8,15,2011,400,450
23,134,107,8,19,2011,300,300
23,134,107,8,20,2011,300,300
170,158,131,5,18,2011,305,268
170,158,131,6,15,2011,379,410
170,158,131,6,14,2011,470,470
94,223,62,6,14,2010,360,360
228,66,13,7,17,2010,303,262
244,66,13,5,16,2010,303,262
228,66,13,5,16,2010,325,336
244,66,13,5,14,2010,325,336
170,158,131,5,17,2010,250,250
170,158,131,5,13,2010,425,420
170,158,131,5,16,2010,372,400
221,81,13,7,18,2011,330,270
233,81,13,7,17,2011,330,270
221,81,13,7,16,2011,420,417
233,81,13,7,16,2011,420,417
74,192,113,6,21,2011,182,182
74,192,113,6,20,2011,182,182
74,192,113,6,19,2011,268,246
74,192,113,6,18,2011,268,246
221,81,52,7,18,2012,330,270
233,81,52,7,17,2012,330,270
221,81,52,7,16,2012,420,417
233,81,52,7,16,2012,420,417
183,132,52,6,18,2010,302,272
183,132,52,6,18,2010,302,272
183,132,52,6,18,2010,302,272
183,132,52,6,18,2010,302,272
183,132,52,6,18,2010,302,272
183,132,52,6,15,2010,320,315
183,132,52,6,15,2010,320,315
183,132,52,6,15,2010,320,315
181,125,209,6,10,2011,310,365
181,125,209,6,13,2011,310,365
181,125,209,6,10,2011,310,365
181,125,209,6,9,2011,310,365
181,245,209,6,10,2011,310,365
181,245,209,6,13,2011,310,365
181,245,209,6,10,2011,310,365
181,245,209,6,9,2011,310,365
181,125,209,6,14,2011,310,365
181,125,209,6,9,2011,310,365
181,125,209,6,10,2011,310,365
181,125,209,6,13,2011,310,365
181,125,209,6,14,2011,310,365
181,125,209,6,9,2011,310,365
181,125,209,6,10,2011,310,365
181,125,209,6,14,2011,310,365
203,213,113,5,18,2011,292,260
203,213,113,5,16,2011,370,395
203,213,113,5,18,2011,292,260
190,55,46,6,21,2011,170,167
190,55,46,5,22,2011,170,167
190,55,46,5,22,2011,170,167
190,55,46,5,22,2011,170,167
190,55,46,5,22,2011,170,167
190,55,46,6,18,2011,272,269
190,55,46,6,18,2011,272,269
57,233,194,6,17,2011,288,270
57,233,194,6,16,2011,288,270
57,233,194,6,17,2011,288,270
57,233,194,6,16,2011,288,270
57,233,194,6,17,2011,288,270
57,233,194,6,16,2011,288,270
57,233,194,6,17,2011,288,270
57,233,194,6,16,2011,288,270
57,233,194,6,17,2011,288,270
57,233,194,6,16,2011,288,270
190,55,46,6,20,2010,170,167
190,55,46,6,20,2010,170,167
190,55,46,5,21,2010,170,167
190,55,46,6,20,2010,170,167
190,55,46,5,21,2010,170,167
190,55,46,5,21,2010,170,167
190,55,46,5,21,2010,170,167
190,55,46,6,17,2010,272,269
190,55,46,6,17,2010,272,269
198,219,100,4,17,2010,250,250
198,219,100,5,17,2010,250,250
198,219,100,5,17,2010,250,250
186,219,100,5,13,2010,425,420
198,219,100,5,16,2010,368,395
198,219,100,5,16,2010,368,395
198,219,100,5,16,2010,368,395
198,219,100,5,17,2010,250,250
198,219,100,4,17,2010,250,250
9,211,133,5,16,2011,290,260
9,211,133,5,16,2011,290,260
27,211,133,5,16,2011,290,260
27,211,133,5,16,2011,290,260
9,211,133,5,16,2011,290,260
168,125,209,6,14,2010,310,365
168,125,209,6,9,2010,310,365
168,245,209,6,9,2010,310,365
168,245,209,6,9,2010,310,365
168,125,209,6,14,2010,310,365
168,125,209,6,9,2010,310,365
168,245,209,6,14,2010,310,365
168,245,209,6,9,2010,310,365
168,125,209,6,9,2010,310,365
168,125,209,6,9,2010,310,365
168,245,209,6,9,2010,310,365
168,245,209,6,12,2010,310,365
168,125,209,6,9,2010,310,365
168,125,209,6,12,2010,310,365
168,245,209,6,9,2010,310,365
168,245,209,6,12,2010,310,365
168,125,209,6,14,2010,310,365
168,125,209,6,12,2010,310,365
168,245,209,6,9,2010,310,365
168,245,209,6,12,2010,310,365
220,155,183,5,22,2011,167,140
220,155,183,6,21,2011,158,140
220,155,183,6,21,2011,167,140
220,155,183,6,21,2011,158,140
220,155,183,6,21,2011,167,140
220,155,183,6,21,2011,167,140
230,155,183,6,21,2011,167,140
230,155,183,6,21,2011,158,140
230,155,183,6,21,2011,167,140
230,155,183,6,21,2011,158,140
230,155,183,6,21,2011,167,140
230,155,183,6,21,2011,158,140
220,155,183,5,22,2010,167,140
220,155,183,6,21,2010,167,140
220,155,183,6,21,2010,167,140
220,155,183,6,21,2010,167,140
220,155,183,6,21,2010,167,140
220,155,183,6,21,2010,167,140
230,155,183,6,21,2010,167,140
230,155,183,6,21,2010,167,140
230,155,183,6,21,2010,167,140
230,155,183,6,21,2010,167,140
61,108,234,6,16,2011,232,159
61,108,234,6,16,2011,212,159
61,108,234,6,16,2011,232,159
61,108,234,6,16,2011,212,159
61,108,234,6,16,2011,232,159
172,164,236,7,20,2011,218,187
172,164,236,7,20,2011,218,187
188,164,236,7,19,2011,218,187
61,108,234,6,16,2010,232,159
61,108,234,6,16,2010,212,159
61,108,234,6,16,2010,232,159
61,108,234,6,16,2010,212,159
61,108,234,6,16,2010,232,159
74,192,113,6,21,2010,182,182
74,192,113,6,20,2010,182,182
74,192,113,6,19,2010,268,246
74,192,113,6,18,2010,268,246
244,241,158,5,29,2011,106,103
244,241,158,4,29,2011,106,103
148,162,49,6,15,2012,182,172
148,162,49,6,20,2012,182,172
224,162,49,6,15,2012,182,172
224,162,49,6,20,2012,182,172
224,162,49,6,17,2012,264,222
224,162,49,6,22,2012,182,172
224,162,49,6,20,2012,182,172
224,162,49,6,12,2012,264,222
224,162,49,6,12,2012,264,222
224,162,49,6,15,2012,182,172
224,162,49,6,20,2012,182,172
224,162,49,6,17,2012,264,222
224,162,49,6,12,2012,264,222
224,162,49,6,16,2012,264,222
244,241,158,5,29,2010,106,103
244,241,158,4,29,2010,106,103
139,242,3,6,23,2012,170,175
244,241,158,5,29,2011,106,103
244,241,158,4,29,2011,106,103
168,155,222,5,13,2011,317,385
148,162,49,6,22,2011,182,172
148,162,49,6,20,2011,182,172
224,162,49,6,22,2011,182,172
224,162,49,6,20,2011,182,172
224,162,49,6,17,2011,264,222
224,162,49,6,16,2011,264,222
224,162,49,6,12,2011,264,222
224,162,49,6,12,2011,264,222
224,162,49,6,22,2011,182,172
224,162,49,6,20,2011,182,172
224,162,49,6,17,2011,264,222
224,162,49,6,16,2011,264,222
224,162,49,6,12,2011,264,222
224,162,49,6,12,2011,264,222
224,162,49,6,22,2011,182,172
224,162,49,6,20,2011,182,172
224,162,49,6,17,2011,264,222
224,162,49,6,16,2011,264,222
224,162,49,6,17,2011,264,222
224,162,49,6,12,2011,264,222
244,241,158,5,29,2010,106,103
244,241,158,4,29,2010,106,103
180,204,153,5,29,2011,106,103
180,204,153,4,29,2011,106,103
222,235,3,4,21,2012,136,128
222,235,3,4,21,2012,136,128
222,235,3,4,22,2012,136,128
222,235,3,4,22,2012,136,128
222,237,3,4,21,2011,136,128
222,237,3,4,21,2011,136,128
222,237,3,4,21,2011,136,128
222,237,3,4,21,2011,136,128
222,237,3,4,22,2010,136,128
222,237,3,4,22,2010,136,128
222,237,3,4,22,2010,136,128
222,237,3,4,22,2010,136,128
189,155,222,5,12,2011,317,385
168,155,222,5,13,2011,317,385
162,8,171,4,12,2010,224,265
189,155,222,5,12,2011,317,385
168,155,222,5,9,2011,317,385
189,155,222,5,12,2011,317,385
20,109,16,6,18,2011,385,310
30,109,16,6,18,2011,345,288
20,109,16,6,18,2011,385,310
30,109,16,6,18,2011,345,288
30,109,16,6,18,2011,345,288
20,125,59,6,16,2011,500,480
20,109,16,6,17,2011,385,310
20,83,60,6,18,2011,408,310
119,47,59,7,17,2009,325,267
119,47,59,6,16,2009,325,267
168,155,222,5,9,2010,317,385
189,155,222,5,9,2010,317,385
168,155,222,5,12,2010,317,385
189,155,222,5,12,2010,317,385
188,90,13,5,23,2011,171,171
188,90,13,6,21,2011,171,171
188,90,13,6,20,2011,171,171
188,90,13,6,21,2011,171,171
188,90,13,6,20,2011,171,171
247,90,13,6,21,2011,171,171
247,90,13,6,20,2011,171,171
247,90,13,6,14,2011,240,223
247,90,13,6,13,2011,240,223
168,155,222,5,9,2010,317,385
189,155,222,5,9,2010,317,385
188,90,13,5,22,2010,171,171
188,90,13,6,21,2010,171,171
188,90,13,6,20,2010,171,171
188,90,13,6,21,2010,171,171
188,90,13,6,20,2010,171,171
247,90,13,6,21,2010,171,171
247,90,13,6,20,2010,171,171
247,90,13,6,19,2010,240,223
247,90,13,6,18,2010,240,223
180,204,153,5,29,2010,106,103
180,204,153,4,29,2010,106,103
228,58,158,5,30,2012,106,103
228,58,158,4,30,2012,106,103
228,58,158,4,30,2012,106,103
20,125,60,6,16,2011,500,480
30,109,16,6,18,2011,345,288
20,109,16,6,18,2011,385,310
20,109,16,6,17,2011,385,310
30,109,16,6,18,2011,345,288
20,83,60,6,17,2011,408,310
27,211,133,5,14,2011,360,390
9,211,133,5,16,2011,290,260
9,211,133,5,16,2011,290,260
9,211,133,5,16,2011,290,260
27,211,133,5,13,2011,360,390
189,31,207,6,17,2011,283,260
189,31,207,6,17,2011,283,260
189,31,207,6,17,2011,283,260
189,31,207,6,17,2011,283,260
189,31,207,6,17,2011,283,260
128,179,107,5,15,2010,210,235
128,179,107,5,14,2010,357,389
128,179,107,5,14,2010,210,235
128,179,107,5,13,2010,357,389
128,179,107,5,14,2010,357,389
128,179,107,5,13,2010,357,389
120,52,224,5,23,2011,158,141
120,52,224,5,22,2011,172,165
57,233,194,6,17,2010,288,270
57,233,194,6,16,2010,288,270
57,233,194,6,17,2010,288,270
57,233,194,6,16,2010,288,270
57,233,194,6,17,2010,288,270
57,233,194,6,16,2010,288,270
57,233,194,6,17,2010,288,270
57,233,194,6,16,2010,288,270
112,22,181,5,18,2011,185,190
112,22,181,4,18,2011,185,190
112,22,206,5,18,2011,185,190
112,22,181,4,17,2011,242,242
148,98,57,6,22,2010,182,172
112,22,181,4,17,2011,242,242
148,98,57,6,20,2010,182,172
112,140,181,5,18,2011,185,190
112,140,181,4,18,2011,185,190
112,140,206,5,18,2011,185,190
112,140,206,4,17,2011,185,190
112,140,181,4,17,2011,242,242
148,98,57,6,22,2010,182,172
112,140,206,4,17,2011,242,242
148,98,57,6,20,2010,182,172
112,22,181,5,18,2011,185,190
112,22,181,4,18,2011,185,190
112,22,206,5,18,2011,185,190
112,22,206,4,17,2011,185,190
112,22,181,4,17,2011,242,242
148,98,57,6,22,2010,182,172
112,22,206,4,17,2011,242,242
148,98,57,6,20,2010,182,172
112,140,181,5,18,2011,185,190
112,140,181,4,18,2011,185,190
112,140,206,5,18,2011,185,190
112,140,206,4,17,2011,185,190
112,140,181,4,17,2011,242,242
112,140,181,4,14,2011,300,320
112,140,206,4,17,2011,242,242
112,22,181,5,18,2011,185,190
112,140,181,4,18,2011,185,190
112,140,181,4,14,2011,300,320
112,140,206,4,16,2011,242,242
112,140,206,4,14,2011,300,320
112,140,181,4,17,2011,242,242
148,98,57,6,20,2010,182,172
127,22,181,5,18,2010,185,190
148,98,57,6,22,2010,182,172
112,140,181,4,17,2011,242,242
112,140,206,4,17,2011,242,242
112,140,181,4,14,2011,300,320
112,140,206,4,14,2011,300,320
112,140,181,4,17,2011,242,242
112,140,206,4,16,2011,242,242
112,140,181,4,14,2011,300,320
112,140,206,4,14,2011,300,320
112,22,206,4,17,2011,185,190
119,47,59,7,17,2010,325,267
119,47,59,6,16,2010,325,267
11,240,201,5,17,2010,250,253
11,240,201,5,16,2011,250,253
54,240,201,5,17,2010,250,253
54,240,201,5,17,2010,250,253
54,240,201,5,16,2010,250,253
54,240,201,5,17,2010,250,253
54,240,201,5,16,2010,250,253
228,58,158,4,30,2012,106,103
228,58,158,4,30,2012,106,103
228,89,158,5,30,2012,106,103
228,89,158,4,30,2012,106,103
193,177,118,6,20,2012,187,186
193,177,118,5,18,2012,270,248
193,177,118,5,17,2012,270,248
224,177,118,6,20,2012,187,186
224,177,118,5,18,2012,270,248
224,177,118,5,17,2012,270,248
224,177,118,5,18,2012,270,248
224,177,118,5,17,2012,270,248
22,24,161,6,17,2010,251,259
22,24,161,6,16,2010,197,230
214,24,161,4,17,2010,175,205
214,24,161,4,17,2010,175,205
22,24,161,6,16,2010,197,230
120,52,224,5,23,2010,158,141
120,52,224,5,23,2010,172,165
120,52,224,5,23,2010,172,165
120,52,224,5,23,2010,158,141
120,52,224,5,23,2010,172,165
120,52,224,5,23,2010,172,165
224,162,49,6,20,2010,182,172
120,52,224,5,23,2010,172,165
156,23,42,4,19,2011,173,166
186,23,42,6,16,2011,280,260
186,23,42,6,16,2011,280,260
186,23,42,6,16,2011,280,260
119,47,59,7,17,2011,325,267
119,65,59,6,16,2011,325,267
172,141,236,7,19,2010,328,269
172,141,236,7,19,2010,328,269
188,141,236,7,18,2010,328,269
172,141,236,6,17,2010,328,269
94,223,62,6,15,2010,360,360
172,164,236,7,19,2011,328,269
188,164,236,7,18,2011,328,269
172,164,236,6,17,2011,328,269
200,210,110,6,15,2009,400,450
200,94,110,6,14,2009,400,450
200,94,110,6,14,2010,400,450
200,210,110,6,14,2010,400,450
200,94,110,8,13,2010,535,550
200,94,110,6,14,2010,400,450
200,210,110,6,15,2010,400,450
148,162,49,6,22,2010,182,172
148,162,49,6,20,2010,182,172
224,162,49,6,22,2010,182,172
224,162,49,6,22,2010,182,172
224,162,49,6,20,2010,182,172
224,162,49,6,22,2010,182,172
224,162,49,6,20,2010,182,172
224,162,49,6,20,2010,182,172
200,210,110,6,14,2011,400,450
200,94,110,8,13,2011,535,550
200,94,110,6,14,2011,400,450
200,94,110,6,14,2011,400,450
200,210,110,6,15,2011,400,450
200,210,110,6,17,2011,315,330
200,94,110,6,17,2011,315,330
200,94,110,6,14,2011,400,450
166,23,42,4,19,2010,173,166
156,23,42,6,15,2010,235,232
156,23,42,6,15,2010,235,232
156,23,42,6,15,2010,235,232
156,23,42,6,16,2010,235,232
229,23,42,6,16,2010,235,232
156,23,42,6,16,2010,235,232
200,210,110,8,17,2011,455,515
200,94,110,8,17,2011,455,515
255,192,65,5,16,2011,260,265
255,192,65,5,16,2011,260,265
255,192,65,5,16,2011,260,265
255,192,65,4,15,2011,260,265
255,192,65,5,16,2011,260,265
200,210,110,8,17,2011,455,515
255,192,65,4,15,2012,260,265
213,104,110,6,14,2011,500,516
213,104,110,6,14,2011,500,516
203,221,110,6,14,2011,500,516
203,221,110,6,14,2011,500,516
150,6,28,6,19,2010,272,254
239,192,64,4,16,2010,210,235
239,192,64,4,16,2010,210,235
239,192,64,5,16,2010,260,265
239,192,64,4,15,2010,210,235
239,192,64,4,16,2010,210,235
239,192,64,4,15,2010,210,235
239,192,64,5,16,2010,260,265
239,192,64,4,15,2010,210,235
239,192,64,5,16,2010,260,265
239,192,64,5,16,2010,260,265
77,60,219,4,15,2012,195,260
77,60,219,4,13,2012,310,334
77,60,219,4,13,2012,310,334
111,42,31,7,19,2011,330,270
111,42,31,7,19,2011,330,270
124,42,31,7,18,2011,330,270
114,57,31,6,17,2011,330,270
114,93,31,6,17,2011,348,276
148,98,57,6,22,2011,182,172
148,98,57,6,20,2011,182,172
148,98,57,6,22,2011,182,172
148,98,57,6,20,2011,182,172
148,98,57,6,12,2011,264,222
148,98,57,6,16,2011,264,222
148,98,57,6,22,2011,182,172
148,98,57,6,20,2011,182,172
148,98,57,6,12,2011,264,222
148,98,57,6,16,2011,264,222
148,98,57,6,22,2011,182,172
148,98,57,6,20,2011,182,172
148,98,57,6,20,2011,182,172
148,98,57,6,17,2011,264,222
255,192,65,5,16,2011,260,265
255,192,65,5,16,2011,260,265
161,10,214,6,11,2011,320,335
161,10,214,6,15,2011,320,335
161,10,214,6,14,2011,403,417
161,10,214,6,11,2011,320,335
161,10,214,6,11,2011,320,335
161,10,214,6,13,2011,403,417
30,108,16,6,18,2010,345,288
20,108,16,6,18,2010,385,310
20,126,59,6,16,2010,500,480
30,108,16,6,18,2010,345,288
20,108,16,6,18,2010,385,310
20,108,59,6,18,2010,385,310
30,108,59,6,18,2010,345,288
161,10,214,6,15,2010,320,335
161,10,214,6,11,2010,320,335
163,10,214,6,14,2010,403,417
161,10,214,6,15,2010,320,335
161,10,214,6,15,2010,320,335
163,10,214,6,10,2010,403,417
111,42,31,7,19,2010,330,270
111,42,31,7,19,2010,330,270
124,42,31,7,18,2010,330,270
114,42,31,6,17,2010,330,270
158,16,217,6,15,2011,320,335
158,16,217,6,15,2011,320,335
158,16,217,6,10,2011,352,382
158,16,217,6,10,2011,352,382
158,16,217,6,15,2011,320,335
158,16,217,6,15,2011,320,335
158,16,217,6,10,2011,352,382
158,16,217,6,10,2011,352,382
158,16,217,6,14,2011,403,417
158,16,217,6,13,2011,403,417
114,93,31,7,19,2011,348,276
158,16,217,6,11,2011,320,335
158,16,217,6,11,2010,320,335
158,16,217,6,10,2010,352,382
158,16,217,6,10,2010,352,382
158,16,217,6,15,2010,320,335
158,16,217,6,11,2010,320,335
158,16,217,6,10,2010,352,382
158,16,217,6,10,2010,352,382
158,16,217,6,14,2010,403,417
158,16,217,6,10,2010,403,417
184,135,209,5,12,2010,320,393
206,135,209,5,12,2010,320,393
128,170,237,7,14,2011,400,413
128,170,237,7,14,2011,400,413
197,3,202,6,16,2010,300,270
197,3,202,6,16,2011,300,270
119,27,78,5,19,2010,240,260
119,27,78,5,17,2010,240,260
119,27,78,5,19,2011,240,260
119,27,78,5,17,2011,240,260
111,7,11,6,13,2010,414,295
60,23,203,6,16,2010,300,270
60,23,203,6,16,2011,300,270
111,7,11,6,13,2011,414,295
175,109,55,5,16,2010,300,271
175,109,55,6,17,2011,300,271
172,101,88,5,18,2010,280,254
172,101,88,5,17,2010,305,273
172,101,88,6,17,2010,305,273
132,9,24,6,14,2010,414,295
132,9,24,6,14,2011,414,295
172,101,88,5,18,2011,280,254
172,101,88,5,17,2011,305,273
172,101,88,6,17,2011,305,273
167,230,24,6,14,2010,414,295
167,230,24,6,14,2011,414,295
22,60,219,6,11,2011,324,373
77,60,219,4,15,2011,195,260
77,60,219,4,13,2011,310,334
77,60,219,4,10,2011,310,334
22,60,219,6,11,2011,280,295
22,60,219,6,11,2011,324,373
22,60,219,6,8,2011,280,295
231,214,254,6,24,2012,135,142
160,107,48,5,21,2010,201,170
160,107,48,6,20,2010,201,172
160,107,48,5,18,2010,280,254
231,214,254,6,24,2011,135,142
160,107,48,5,22,2011,201,170
160,107,48,6,21,2011,201,172
160,107,48,5,19,2011,280,254
190,197,48,5,22,2011,201,170
24,60,224,4,15,2010,195,260
24,60,224,4,10,2010,310,334
24,60,224,4,10,2010,310,334
161,10,214,4,20,2011,332,367
161,10,214,4,20,2011,332,367
161,10,217,4,20,2011,332,367
161,10,217,4,20,2011,332,367
161,10,214,4,21,2010,332,367
161,10,214,4,21,2010,332,367
161,10,214,4,21,2010,332,367
161,10,214,4,21,2010,332,367
30,108,16,6,18,2010,345,288
